teks,label_emosi,label_angka
yuhuu siapa nih yang sama kayak aku ketawa terus tapi juga penasaran loh gaesss konsepnya nyeleneh tapi justru itu yang bikin nagih tiap episodenya whahahah,happy,3
lo orngnya terlalu terbuka apalagi sama lawan jenis enggak usah sok merasa jadi yang paling tersakiti lu juga baperan sumpah drama bocah puber anjing,angry,0
oh despite zia all his wow folksiness posts then a wearisome mention of the conservatives tapi vent his spleen at their rejection of him then silence when reform lose elections we sih you,surprise,6
makin takut bergerak,fear,2
jujur takut juga sampai sekarang enggak ada yang tau aku suka menonton series bl karena aku takut diamuk bjirz,fear,2
gue yakin beberapa dari komentar ini kecam aksi mahasiswa fhui tempo hari sakit lo semua jijik,disgust,1
kayak lu tuh kan pada punya free will buat membela kaum lu terus mengapai pakai cari cari feminis kayak mana nih feminis blalalal enggak usah dicari juga feminist mengecam tindakan begituan tapi lu kan memang enggak peduli sama isunya lu cuma senang cari cari kesalahan feminist saja,happy,3
barter yuk kak kakak lain yang lagi kerja boleh banget bantu isi survey ku juga pliss thanks,neutral,4
yang tiktok ngapa enggak naik naik sih ish benci wu a destiny untold,angry,0
semoag saya ikut di invit untuk ngembangin pasif incam dari kerja saya dan bisa belajar disana dan bantu teman yang newbie semoga ya tuhan,neutral,4
seram lah wu nih cane nk tengok aku dah lah duk sorang,fear,2
anyaaaa cantik banget lagi disini wkwk meski ketawa mulu tapi salpok sama anya yang cantik poll,happy,3
wow are you for real,surprise,6
pernah tanya cowok gue apakah gue kurang perhatian somehow terus kata dia dikit soalnya kalo aku main enggak pernah disuruh pulang wkwkwk padahal gue mah mikirnya ya namanya juga orang jarang main lagi main masa disuruh pulang,neutral,4
akhirnya gwh terbebas dari hubungan yang enggak jelas ini memang brengsek tuh cowok,angry,0
loh day huwooo,neutral,4
gue enggak sedih karena gue yakin ammar akan membatah isu palsu itu,sad,5
kaget sih milk,surprise,6
sama saja memang negara mana pun kalo brengsek ya brengsek saja jangan melupakan negara lu juga termasuk sih,angry,0
jam tayang nya terikat janji ini enggak bisa diganti ya gue mau ngehype selalu agak susah karena bertepatan banget sama jam makam malam paling dilarang banget kalo makan tuh sambil main hp,neutral,4
aku kesal dengan jarak yang sering memisahkan kita what ucol astaghfirullahaladziimmm,angry,0
nah sedih kita ude bayarr pajak suruh lapor pula enggak lapor denda,sad,5
wkwkwk ini lucu banget sayang,happy,3
otak lo isinya body orang lain terus saja sudah salah banyak loh yang bisa lo melakukan selain selain mengurusi body orang topik yang lagi dibicarain apa dia ikutan memilih jadi kayak pelaku najis lo langkahtegas jijik najis,disgust,1
hero najis,disgust,1
jijik banget sumpah demi apapun ini jijik banget kenapa sih otak laki tuh isinya selangkangan doang cok demi dah anjir,disgust,1
najis deh palmer tolol,angry,0
exol sih senang saja kalo menambah seminggu tapi mereka kasihan pasti capek banget mana cuman berlima harus nya hari cukuplah tapi di jis jangan di ia,happy,3
kamu belum pernah merasai hadiah kejutan kamu dikasih uang enggak terkejut kah nder,surprise,6
huuu sedih banget padahal aku jadi cat owner gara-gara melihat tortie soalnya seumur hidup enggak pernah lihat kucing mirip musang begitu lucu banget mana cerewet pula,happy,3
wajib mengabari ayah kalau sudah hari h mau ngecat,neutral,4
Telinganya penuh kotoran kuning pas dia pakai earphone bareng,disgust,1
tercengang zuzur ada merindingnya pas menonton ini,surprise,6
sama kak terima kasih kembaliii dengan senang hatiii ️‍️‍ aku baru sekali ini lihat livenya alexandros dan benar tercengang wow amin kencang,happy,3
enggak menyambung kontol manusia tolol mati saja lo bangsat berani cuman di sosmed najis jijik gua wkwk,disgust,1
Sikat gigi orang kok dipakai sembarangan tanpa izin,angry,0
menonton podcast theo derick sama muslim ada yang kaget enggak theo dulu sesusah itu jalan rumahnya kecil banget di gang tetangga pup di got di sekolah sering enggak bisa ujian enggak bayar spp tetangga saya juga ada sih yang pup di got wkwk tapi enggak sesusah itu juga dia cerita yang,surprise,6
omaigattt congratssss kak ￼￼￼ ikutannn senang kalo ada yang dapat walau aku enggak dapettt camat menonton sayang sayangmuu itu akhirnyaa kak doain next aku juga dapat karena enggak tau mau se terharu apa aku kalo dapat tiket dan nontonnn,happy,3
enggak harus memilih salah satu sih kalo bisa senang ya senang kalau terpaksanya sampai sedih ya sudah enggak apa,happy,3
enggak bisa berhenti ketawa lihat kelakuan dustin sama anya ini,happy,3
huek huek enggak tuh ih jijik,disgust,1
seram banget enggak sih dd,fear,2
nangis kah min timnya gugur jadi enggak ada yang dibahas lagi di ucl cinta banget sama arsenal ya,happy,3
a powerful story of giving back by amar deep hari,neutral,4
gegara kasus ini pikiran cowk mulai pada aneh jijik gue,disgust,1
main petak umpet di rumah nenek terus ngumpet di kolong tempat tidur nenek pas menengok sebelah kanan aku mayat bukan pocong karena memang mukanya masih ketutup kaffan layaknya mayat dan masih bersih gd interaksi juga jadi benaran kayak lagi sampingan saja sama mayat,neutral,4
mengikuti standar antek kutang mah enggak bakal ada habisnya enggak butuh juga validasi mereka lagian mereka siapa deh biarkan data yang bicara gp juga tau ih apasih geli kali,disgust,1
enggak boleh panik dulu,fear,2
terkejut kiter menampak chan,surprise,6
sedih banget enggak bisa ngepunk sama xdiz,sad,5
terkejut saman parkir lebih rm,angry,0
lah kan dea petinggi dari semua petinggi wajar kali kak ah enggak usah kaget begitu,surprise,6
wow semangat seng the real sih selalu membantu emangg,surprise,6
jek egois lek iku alias mentingno senang e dewe ya gapopo se tapi kan lek wes macari wedok ya kudu nyiapno gae rabi rek moso kewajiban kudu diobrak terus mben yoopo lek berumah tangga beras entek podo menengan a opo tuku sego bungkus dewe wkwkw,happy,3
najis lu yang nyariin mereka berdua anjir,disgust,1
naik sist,neutral,4
nangis sendirian,sad,5
harusnya tinggal cancel resto tutup saja kak pakai kamera timestamp buat kirim buktinya kejadian kayak begitu sudah sering dulu jaman saya jadi driver sopi mau marah ke penjual juga buang buang waktu sama tenaga cancel restoran tutup deh beres tinggal lanjut lagi sebenarnya,angry,0
ya lu sambil mojokin cewek lain kocak lu menyudutkan perempuan dengan kalimat keterlaluan saja kalo sampai bocor parah banget deh lu merendahkan wanita lain tahi lu kagak ada women support womennya,angry,0
oh astaga pantas,surprise,6
kayak enggak dibiarkan buat sedih amp khawatir lamalama tbtb langsung direminder lewat quote tersebut percaya enggak percaya tapi aku percaya benerbener dibayar kontan kalo tudah itu tidak pernah tidur,sad,5
ketawa ngikut kakak stella yang jadi kakak jiu,happy,3
Jalanan banyak lubang nggak pernah ditambal bikin velg motor hampir bengkok,angry,0
hii siapa punya cara supaya press on nails kita menempel rekat banget enggak gampang copot aku baru pertama kali press on nails mau pasang sendiri tadi bertanya di dekat kantor enggak bisa kalo manicure sekalian pasangin press on nails ku,neutral,4
takut banget sumpaaa,fear,2
ini enggak diadukan oleh lebih peternak sapi neeeehhh ibu simamora mana suaranyaaaa apa takut ikutan dipotong bacot saja kau bisanyaaaa,angry,0
pekerjaan pertamaku dari kenalan ayahku tapi aku ikut interview kok terus probation juga awalnya merasa agak bagaimana begitu tbtb kerja dari relasi ayah tapi kata managerku memang pas lihat cv dan interview pt nya mau hire aku jadi bukan karena ayahku,neutral,4
kak pemerintah dan zulhas memang brengsek tapi ini sumbernya darimana kok saya kroscek enggak ada media besar yang meliput sama sekali ini teks tempelan provokasi yang bikin rakyat enggak fokus sama masalah yang benaran ada mending update berita yang sudah jelas kredibel kak,angry,0
kesel banget sama parkir,angry,0
alhamdulillah for another day that wasnt promised,happy,3
untung sih toke mati dia lebih seram dari setannya ih takut banget pas di wc lebih ngeri lagi,fear,2
interlink foundation hadir untuk membangun ekosistem blockchain bagi miliar pengguna pembayaran global tokenisasi aset dunia nyata integrasi ai ekonomi terdesentralisasi masa depan digital dimulai sekarang,neutral,4
najis banget gue tiap lihat itu hastag,disgust,1
aduh aku sampai trauma buka akun kamu kak mual baca komen,sad,5
aaanjingggggg takut,fear,2
panik moduna girmişler ahajak,fear,2
mau bilang pantas grup nya minus orang kelakuan fan nya juga bikin orang benci grup nya tapi kayak jahat banget gasi kasihan banget enhypen punya fan kayak begini,sad,5
aku abissss baca kakak adek nyinya yang baru huhuhuhu sedih sekali,sad,5
aku lega banget sekarang kayak tau semuanya harus aku cut off termasuk orang yang aku percaya ini katanya tuh dia termasuk yang ketawa sama jokes bodyshaming aku dia ngakunya sih istighfar istighfar malah staff yang mau pulang tuh ditahan sama sih si biar nimbrung ih najis hahaha,happy,3
ih seram banget busuk begitu ya,fear,2
harusnya kalian bahagia goblok ada negara superpower yang bisa ngatasin masalah laut china selatan kalian daripada tiap saat dibully china terus,happy,3
dia doang yang covernya sayang mamah tapi enggak brengsek,angry,0
anaknya pak sony tuh memang brengsek banget pengin ku maki tapi kalo lagi pengin marah dan nangis suka ku reread,angry,0
takbirrr anjir hyune sejak kapann itu tangan bisa jadi begitu mana dengan rwmbut panjang juhaa lagiis shwbshvwjswu tolonk jantung amankan jantung kalian hiks sangatt sedih enggak bisa lihat dia pas masih bokem salam stay baru join,sad,5
i realize allah wants me tapi turn back he never leave me alone bahkan mimpiku yang awalnya mau aku padamin malah hidup lagi ditengah perasaan cemas dan bangun tidur yang enggak enak alhamdulillah,happy,3
pens emyu juga deh kebal gweh malah sengaja ngantor pakai jersey emyu tadi pagi pas ngopi pagi cengceng an sama baristanya yang pens celsi padahal samasama kalah tapi kami samasama senang soalnya city menang,happy,3
faktor sudah dapat kakak kayanya takut babak ke makin tantrum,fear,2
jijik banget sumpahhhh alhamdulillah ketahuan duluan kamu layak disayang nder udahin saja nggakpapa ya dia sudah khianatin kamu enggak pantas kamu buat badjingannnnn ituuuuu,happy,3
nontonnya geli tapi seru bikin ketawa sendiri pliss hahahah mau next episode plis,happy,3
dia join sih ica makin enggak dikasih kerja,neutral,4
yaaaaah sedih ️ kenapa product bagus harus discontinue,sad,5
tenang ya yorobun ini aku pas belanja ada promo bang jadilah beli buat mereka samaan soalnya kalo aku belikan salah satu doang yang satunya mengambek,neutral,4
tapi memang iya loh cintanya seonghyeon ke acai tuh ngacai banget,neutral,4
meng biasanya makan yang pedas pedas biar mules kak,neutral,4
kesel nglentruk wes ngombe vit wes pijet rak hilang h mens baru enak lagi,sad,5
kalo aku have funn juga walaupun lagi sendirian jadi lebih tau mau mengapai dan nurutin kemauan diri sendiri yang bikin senang,happy,3
tapi unnie senang kan,happy,3
senang lu senang,happy,3
ini long weekend kebetulan anak pada libur kerja selalian pulang kampung di solo raya harga eceran minyak kita kakak kami tau karena kebetulan mau masak untuk keluarga besar,neutral,4
alhamdulillah lancar,happy,3
sebetulnya ini malah enggak sakit by tapi terima kasih ya amin sedih saja belum bisa pakai kutek hiks,happy,3
memang anak kuontol bikin panik anjir,fear,2
takut banget gue sempro feeling gue sudah enggak enak,fear,2
lanang jidat kayak lapangan tenis jijik lu harusnya menyadar kenapa sasuke jarang pulang modelan kayak begini enggak heran,disgust,1
live tercengang banget kayaknya wkwkwkw,surprise,6
gila ya ganteng banget buset pondphuwin songkran,angry,0
lilu mengangkat alis jelas sedikit terkejut dengan pengumuman itu visitor gumamnya pelan nyaris seperti bertanya pada diri sendiri ia melangkah mengikuti ke tengah lapangan sepatu berderit halus di atas tanah,surprise,6
gue benar bersyukur hari ini jujur gue tuh jarang ya lihat orang ketemu artis irl terus hari minggu kemarin gue ketemu lucinta luna di tapi dan hari ini ketemu dion wiyoko hahaha,happy,3
akun hunter garapan diban wkwk sialan,angry,0
güncelleme saat saat itibariyle tabloya yukarıdan bakıyorum xu xu xutum dikkat ederseniz bi̇st bi̇st e göre daha güçlü duruyor gerçek panik günlerinde lokomotif hisseler daha sert düşer bugün ise satış daha çok geniş tabana,fear,2
ya tuhan aku sudah terlanjur rusak apa memang tidak disediakan tempat untuk aku merasakan setidaknya sedikit ketenangan dan bahagia sebelum mati,happy,3
pernah khawatir tentang masa depan pekerjaan dan jodoh tapi satu hal yang harus kita ingat bahwa allah telah menetapkan takdir terbaik untuk hambanya kalau niat kita baik insyaallah akan permudahkan segalanya,fear,2
langsung di qrts post aslinya ada lads player kebanyakan latah marah kalo dibilang baby first otome padahal kelakuannya mencerminkan yang dibilang lightampnight cn sudah rilis hampir tahun sangat mudah buat mencari infonya mc nya jelas default seperti kebanyakan otomege di,angry,0
mahal doang lu najis,disgust,1
mau banget jadi macan ternak habis itu aku pilates dulu pas jemput anak enggak langsung pulang tapi kita ke mall dulu tetap kerja tapi kerjanya kerja cantik praktik cuma jam per hari terus dari mall pulangnya dijemput suami yang baru pulang kerja future me please,neutral,4
Kerah seragamnya hitam dekil karena daki yang menumpuk,disgust,1
yaudah besok nangis sama gue,sad,5
hi kak di aku sudah ngestan treasure selama tahun dan aku selalu diizinin menonton tapi finansial sulit mendukung aku pengeenn banget bisa ketemu treasure aku nangis pas lihat tweet kakak karena akhirnya menemukan harapan lagi setelah sekian lama aku selalu bahagia kenal trejo,happy,3
mau yapping pc di sini saja deh kasihan ini akun takut terlupa kan,sad,5
ketua eksekutif lembaga tabung angkatan tentera ltat ybrs encik mohammad ashraf md radzi telah mengadakan lawatan kerja ke san miguel yamamura plastic films sdn bhd salah sebuah syarikat pelaburan ltat yang menjalankan aktiviti pembuatan dan penjualan filem plastik,neutral,4
nangis dalam keadaan kamar berantakan karena bikin prakarya,sad,5
aku lihat fotomu ini jadi teringat sama mbak sepupuku yang dulu suka naik gunung beb,neutral,4
indonesia memang ngeri tukang malaknya,fear,2
jujur sedih sih lihat sesama exol tapi jual tiketnya over banget kalo memang enggak niat menonton sudah anjing jangan ikut warkasian exol yang benaran pengin ketemuu,sad,5
geli banget anjir se najis itu,disgust,1
kata uti ku nasib ku jelek karena pas aku mulai umur kehidupan ku berubah dulu mau ini itu langsung ada sekarang mengurusi orang rumah satu satu memikirkan duit ini itu bayar ini itu mau beli sesuatu harus mikir kali sudah enggak pernah meminta ini itu benci banget,angry,0
merinding anjir,fear,2
ada mutual ku yang benar benar darah dagingnya teume dia menang aku bahagia banget lihatnya dia senang tapi buka kali ada kasus ini jadi sedih,happy,3
aku pernah setakut dan hampir gila sebelum aku setenang ini,angry,0
lucu banget yang itu,happy,3
coba search kak karena deh keterlaluan akhirnya ada yang doxxing dan ketahuan full dia mengaku sempat kerja di grab kalo enggak salah,angry,0
astaga ‍️,surprise,6
itupun karena takut gentayangan,fear,2
astaga baru sadar,surprise,6
duh gila gue njun,angry,0
enggak guna banget malah bikin kesel,angry,0
kita menikahi saja enggak sih ah kesel mau lihat mereka bermesraan huft,angry,0
twitch jungle is quite bad nowadays but ini the pasti sure,neutral,4
setelah sejam baru kekirim astaga,surprise,6
benci banget gue kalo pas di jelasi perorang bilang ini kan anak kecil saja kalo anak lu kodok ya enggak di itung kocak anak lu orang bukann heiii,angry,0
duit banyak tiap weekend jalan pokoknya soalnya banyak banget cafetempat makan,neutral,4
my thought exactly sebenarnya ya preferensi kan cuma kayak hmmmmm kalian yang manggil pasti jauh lebih tua dakh kok egk geli,angry,0
ngeri banget oeekk,fear,2
hah anjjnggggg akhir hidup gue banget sumpag,happy,3
Ada bangkai tikus gepeng di tengah jalan yang dikerubungi lalat,disgust,1
ternyata sosok wanita tersebut adalah ratu yamatai yang bernama himiko contoh nyata dan hidup dari sihir dan kepemimpinan yang menjadi satu kesatuan yang sedang dilakukannya adalah ritual penyucian tangannya tampak digerakkan seolah menari ⠀,neutral,4
art nya lucu kak tapi begitu baca captionnya aku nangis,happy,3
kerja mbak,neutral,4
wooo gila padat banar anjng kayak apa ini bayar cuman buat main main anjing bukan buat belajar,angry,0
kita tte mah enggak heran lagi sama mereka mereka mah otaknya memang begitu otak mereka kan memang enggak waras makanya kita yang waras diam saja takut nular,fear,2
gue tuh marah sampai pengin nangis deh can they trust my brother the way i trust him kalau enggak setuju sama citacita dia whatever i will sih what i can di tapi afford what he needed,sad,5
alhamdulillah for the gift of life and good health,happy,3
benci banget guaaaa,angry,0
kita semua bisa kerja tapi plis intv bisa dihilangin gkkk,neutral,4
mbak maaf belum balas astaga ini masih riweuh audit dan pekerjaan rutin saya tau kamu kemungkinan besar enggak baca ini semoga tersampaikan oleh angin,surprise,6
terkejut terjadi ini barubaru ini,surprise,6
astaga gue kira diupload jam pm kst sksksks my baddd,surprise,6
kesel banget lihat orang tolol,angry,0
kanit lantas iptu agung pada sh pimpin apel patroli cipta kondisi siang hari dalam rangka kegiatan rutin yang ditingkatkan guna antisipasi gangguan kamtibmas apel bertempat dihalaman polsek neglasari polres metro tangerang kota,neutral,4
ness aku koas gigi di semarang lagi cari pasien yang punya keluhan seperti di bawah dan ingin dilakukan perawatan boleh komen ya nanti sender replay dan dm dan jangan khawatir kita diawasi drg spesialis di bidangnya keluhantanya silakan dm kak jangan lupa cek dmnya kak,fear,2
jijik ih,disgust,1
bahaya itu takut kejepit,fear,2
edan diajak gacha awalnya lewat doang alhamdulillah mampu membatasi diei padahal ganteng loh itu satoru,happy,3
najis banget jakarta kalo ujan kayak enggak pernah ujan saja,disgust,1
sedih banget ternyata ep,sad,5
fandes thankyou sudah pahami rasa khawatir harry dan ngabarin dia ya qeel cepat sembuh dan gue senang akhirnya harry mau cerita lebih detail ke mohan biar enggak ada lagi namanya salah paham sekarang jelas tujuannya biarkan aqeela sembuh dulu jadi biar semuanya samasama enak,happy,3
memang cowok kalo diomongin sebagai objek seksual begitu enggak merasa marah jijik dan terhina ya enggak merasa dilecehkan apa malah merasa terangsang kok bisa lu bikin istilah kenakalan segala mau itu di ruang publik atau ruang privat korbannya merasa dirugikan anjir,angry,0
adegannya tuh kayak detektif begitu tapi pas papasan sama orang ada kata terbiritbiritkek geli kesel ketawa campur jdnya,happy,3
wah takut lihat bawah,fear,2
oh wow thats actually cheaper tahan i thought for some reason awesome,surprise,6
lama lama capek banget ya lihat berita tntng prabowo ini perasaan dulu jokowi seancur hancur nya di benci dia enggak pernah tunduk banget ke us sekarang kita malah kayak jadi kacung banget astaga padahal kita deh dari lama non blokx,sad,5
aku sebagai perempuan jijik banget bacanya enggak ada marwahnya,disgust,1
im good alhamdulillah apa kahan the,happy,3
najis banget,disgust,1
ya bro maag ku sudah kronis jadi enggak berani makan yang pedas,neutral,4
alhamdulillah uts kali ini matkul struktue dikerjain samle beres semua,happy,3
enggak worth itu kalo cowonya brengsek,angry,0
marah itu ada dan diciptakan karena suatu alasan normal yang jadi masalah ketika kemarahan itu membuatmu menyabet antrian mecahin barang nyekik orang lalu purapura kesurupan,angry,0
Nunggu ojek online lama banget pas udah deket malah di-cancel sepihak,angry,0
halo kak ayi thank you for the contribution kelompok goyang pdvv izin bertanya kemanakah bisa donas dan bagimana nanti sisitem penyaluran handbannernya di hari h thanks before,neutral,4
brengsek oh sionnn,angry,0
gua buka baju juga disuruh sama lu ya bahlul enggak usah soksokan peduli sama gua ujarnya sembari menyiram kepala andi menggunakan selang yang ada pada genggaman tangan kiri ini mobil siapa sih kok jorok banget deh kayak enggak dicuci seratus abad,disgust,1
i feel like shit today he made me feel more like shit bcs of that text gue enggak mau melihat konten yang berhubungan sama relationship orang self reflect orang sedih etc let me be myself like i used tapi ini jhs for fuck sake gue capek harus jadi dewasa,sad,5
taro open avail buat all package ya start from ke kamu sudah bisa dapat reading detail dari aku bisa sambil curhat lgbt friendly jangan khawatir seluruh prosesnya bakal kubantu kok wa tele only on pinned t baca tarot reading,fear,2
eh ngeri banget kalo bjua gtan,fear,2
arsenal vs mu adalah puncak rivalitas lig inggris kala itu setiap pertandingan adalah pertempuran dan perkelahian tidak seperti sekarang dikit kartu dan yang paling apes selalu mu cuman nyentuh rambut dikit deh di kartu merah bikin mual lihat liga inggris saat ini,disgust,1
gara gara bahas jorok sama kak ann tl ku jadi jorok semua,disgust,1
making the most of this adverse situation wow this is like a rebirth of a new ukrainian nation,surprise,6
sedih lihat foto ini karena kacamataku yang mirip di foto ini hilang hiks enggak kembaran lagi sama wonwoo,sad,5
alhamdulillah anakku deh tapi misalnya kalo semua sudah diusahakan dan kami enggak dikasih keturunan ya enggak papa kami akan tetap mencoba bersyukur dan bahagia berdua saja sebelum nikah pun aku deh mempersiapkan mental soal skenario dikasihgak dikasih keturunan,happy,3
nangis banget padahal mau mrreca playable pls,sad,5
iya karena hampir setiap hari bukti yang sangat masuk akal ini di perlihatkan secara gamblang,neutral,4
pengin menonton tapi takut ke triggernya bermingguminggu anjir,fear,2
gue lagi ksl sama cowok fh ui tb nih cowok ikut brengsek oalah,angry,0
cemas aku deck,fear,2
cowok kalo sudah power nap lebih susah bangun daripada tidur benaran sampai suka kesel sendiri kalo bangunin takut dia telat,angry,0
sedih banget enggak di atentifin begini boleh abang nangis sekarang biar keren saja kan kamu katanya tim furab dari bekasi kalo mengomongkan abang di belakang dan enggak benar ya enggak diam abang injek lehernya paling cuman kalau ada omongan di depan gue yang mungkin menyinggung,sad,5
senang banget lihat dia jalan happy semoga enggak ada yang resek have fun baby,happy,3
